
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   381  -1.36510E-04  6.31601E-05 -7.22658E-03 
   382   1.14581E-04 -6.03621E-05 -7.23053E-03 
   383  -1.36153E-04  7.03165E-05 -7.18389E-03 
   384   1.14286E-04 -6.72069E-05 -7.18589E-03 
   385  -1.35760E-04  7.71747E-05 -7.13413E-03 
   386   1.13961E-04 -7.37613E-05 -7.13829E-03 
   387  -1.35333E-04  8.36954E-05 -7.08244E-03 
   388   1.13607E-04 -8.00182E-05 -7.08463E-03 
   389  -1.34875E-04  8.97756E-05 -7.02336E-03 
   390   1.13226E-04 -8.58675E-05 -7.02871E-03 
   391  -1.26730E-04  0.00000E+00 -7.48115E-03 
   392   1.05453E-04  0.00000E+00 -7.48417E-03 
   393  -1.26709E-04  8.22208E-06 -7.47943E-03 
   394   1.05436E-04 -7.84965E-06 -7.48053E-03 
   395  -1.26644E-04  1.64174E-05 -7.47068E-03 
   396   1.05382E-04 -1.56988E-05 -7.47315E-03 
   397  -1.26537E-04  2.45535E-05 -7.45761E-03 
   398   1.05295E-04 -2.34595E-05 -7.45920E-03 
   399  -1.26388E-04  3.26087E-05 -7.43862E-03 
   400   1.05172E-04 -3.11585E-05 -7.44085E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   401  -1.26198E-04  4.05647E-05 -7.41487E-03 
   402   1.05016E-04 -3.87630E-05 -7.41647E-03 
   403  -1.25967E-04  4.83867E-05 -7.38543E-03 
   404   1.04825E-04 -4.62391E-05 -7.38766E-03 
   405  -1.25696E-04  5.60401E-05 -7.35142E-03 
   406   1.04602E-04 -5.35552E-05 -7.35300E-03 
   407  -1.25387E-04  6.34861E-05 -7.31192E-03 
   408   1.04345E-04 -6.06742E-05 -7.31412E-03 
   409  -1.25042E-04  7.06788E-05 -7.26810E-03 
   410   1.04059E-04 -6.75516E-05 -7.26963E-03 
   411  -1.24662E-04  7.75766E-05 -7.21910E-03 
   412   1.03741E-04 -7.41378E-05 -7.22129E-03 
   413  -1.24248E-04  8.41259E-05 -7.16650E-03 
   414   1.03396E-04 -8.03906E-05 -7.16741E-03 
   415  -1.23802E-04  9.02403E-05 -7.10976E-03 
   416   1.03021E-04 -8.62739E-05 -7.10963E-03 
   417  -1.15510E-04  0.00000E+00 -7.55775E-03 
   418   9.51402E-05  0.00000E+00 -7.56237E-03 
   419  -1.15489E-04  8.26436E-06 -7.55683E-03 
   420   9.51234E-05 -7.89372E-06 -7.55838E-03 
