
 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   397  -1.18168E-04  2.27462E-05 -7.09569E-03 
   398   9.73389E-05 -2.17321E-05 -7.09723E-03 
   399  -1.18036E-04  3.02124E-05 -7.07806E-03 
   400   9.72300E-05 -2.88680E-05 -7.08029E-03 

 Rigid Airport Pavement
                   FAASR3D (version 1.0 ) compiled 04/15/19
 n o d a l   p r i n t   o u t   f o r   t i m e   s t e p     1  ( at time  1.0000E+00 )
   node     x-disp       y-disp       z-disp
   401  -1.17867E-04  3.75931E-05 -7.05610E-03 
   402   9.70929E-05 -3.59223E-05 -7.05765E-03 
   403  -1.17662E-04  4.48554E-05 -7.02878E-03 
   404   9.69248E-05 -4.28634E-05 -7.03102E-03 
   405  -1.17423E-04  5.19693E-05 -6.99729E-03 
   406   9.67293E-05 -4.96633E-05 -6.99883E-03 
   407  -1.17149E-04  5.88993E-05 -6.96063E-03 
   408   9.65044E-05 -5.62884E-05 -6.96283E-03 
   409  -1.16844E-04  6.56036E-05 -6.92002E-03 
   410   9.62537E-05 -6.26984E-05 -6.92151E-03 
   411  -1.16507E-04  7.20446E-05 -6.87450E-03 
   412   9.59748E-05 -6.88474E-05 -6.87670E-03 
   413  -1.16142E-04  7.81752E-05 -6.82572E-03 
   414   9.56726E-05 -7.46989E-05 -6.82659E-03 
   415  -1.15747E-04  8.39131E-05 -6.77304E-03 
   416   9.53434E-05 -8.02230E-05 -6.77288E-03 
   417  -1.07593E-04  0.00000E+00 -7.18834E-03 
   418   8.76153E-05  0.00000E+00 -7.19304E-03 
   419  -1.07574E-04  7.65342E-06 -7.18768E-03 
   420   8.76001E-05 -7.31001E-06 -7.18921E-03 
